Name,Date of Call,Negative,Neutral,Positive,Compound
MSFT,2023-04-25T12:00:00-00:00,0.01247956989247312,0.804591397849462,0.18292688172043,0.3189999999999997
MSFT,2023-01-24T12:00:00-00:00,0.015423553719008264,0.8381694214876027,0.14640289256198336,0.2609202479338841
MSFT,2022-10-25T12:00:00-00:00,0.015992141453831047,0.8206561886051068,0.16334774066797628,0.2970589390962671
MSFT,2022-07-26T12:00:00-00:00,0.01657601713062098,0.8357601713062094,0.14766595289079212,0.26554561027837237
MSFT,2022-04-26T12:00:00-00:00,0.017015810276679845,0.8078498023715411,0.17512450592885384,0.3030310276679843
MSFT,2022-01-25T12:00:00-00:00,0.01799331848552339,0.8047505567928723,0.17724721603563465,0.32114008908685965
MSFT,2021-10-26T12:00:00-00:00,0.018199143468950754,0.8165096359743034,0.16529978586723765,0.2964246252676657
MSFT,2021-07-27T12:00:00-00:00,0.015494529540481394,0.8247746170678333,0.15972866520787743,0.2756330415754921
MSFT,2021-04-27T12:00:00-00:00,0.01268143459915612,0.824310126582277,0.1630084388185653,0.30897257383966226
MSFT,2021-01-26T12:00:00-00:00,0.013114035087719297,0.8048267543859647,0.18205921052631574,0.3371177631578944
MSFT,2020-10-27T12:00:00-00:00,0.013178343949044588,0.8257983014862004,0.16101910828025467,0.3136647558386408
