Name,Date of 10k Filing,Negative,Neutral,Positive,Compound
MSFT,2022-07-28T16:06:19-04:00,0.05744090909090912,0.7575409090909093,0.18501818181818178,0.3818327272727275
MSFT,2021-07-29T16:21:55-04:00,0.06590454545454545,0.7427636363636361,0.19131818181818175,0.3402400000000002
MSFT,2020-07-30T20:44:46-04:00,0.0641881918819188,0.7334354243542436,0.20233948339483382,0.3811317343173438
MSFT,2019-08-01T16:09:55-04:00,0.06840740740740735,0.7264148148148148,0.20515185185185178,0.365628518518519
MSFT,2018-08-03T11:03:33-04:00,0.08090972222222223,0.7210451388888889,0.19802083333333326,0.3061586805555558
MSFT,2017-08-02T16:15:01-04:00,0.09590625000000001,0.6997750000000005,0.20431874999999988,0.30064093750000037
MSFT,2016-07-28T16:12:18-04:00,0.08831249999999999,0.7294077380952386,0.18227083333333316,0.2763264880952385
MSFT,2015-07-31T15:07:52-04:00,0.08014426229508191,0.7413836065573773,0.1784524590163934,0.3249049180327872
MSFT,2014-07-31T17:16:52-04:00,0.07863036303630358,0.746075907590759,0.17528382838283824,0.320263366336634
MSFT,2013-07-30T16:14:49-04:00,0.07728888888888888,0.7482793650793651,0.17442539682539684,0.3041885714285716
